,0
1997-01-01,3.68145304236
1997-02-01,3.43908902412
1997-03-01,3.7906012205999997
1997-04-01,4.09958426016
1997-05-01,4.0836415311600005
1997-06-01,3.7746276545999997
1997-07-01,3.1627611340799997
1997-08-01,2.82827466204
1997-09-01,2.76963255588
1997-10-01,2.6524322202
1997-11-01,2.6655231434400006
1997-12-01,2.8968795861600007
1998-01-01,3.4247831230800005
1998-02-01,3.48879086724
1998-03-01,3.6187490865600003
1998-04-01,3.8977684299599997
1998-05-01,4.21304591796
1998-06-01,4.48442385276
1998-07-01,4.28417700912
1998-08-01,3.9270056064
1998-09-01,3.6323506705200006
1998-10-01,3.50497412484
1998-11-01,3.7031104841999998
1998-12-01,3.44372937588
1999-01-01,3.5376416091599996
1999-02-01,3.5628046011599994
1999-03-01,3.7609631631600005
1999-04-01,4.16919817092
1999-05-01,4.38736131156
1999-06-01,4.32157242228
1999-07-01,3.6667598286
1999-08-01,3.3107367957599996
1999-09-01,3.1179327704399995
1999-10-01,2.98690019004
1999-11-01,2.96870759352
1999-12-01,2.8723555368
2000-01-01,3.0251282022
2000-02-01,3.56422186968
2000-03-01,3.6736722505200006
2000-04-01,3.94106974536
2000-05-01,4.01322215796
2000-06-01,3.69853550688
2000-07-01,3.0956425533600003
2000-08-01,2.63793019584
2000-09-01,2.505722109
2000-10-01,2.4852956802
2000-11-01,2.32496054892
2000-12-01,2.2470712208400005
2001-01-01,2.26718434572
2001-02-01,2.3689094413199996
2001-03-01,2.6277934571999997
2001-04-01,2.78641528476
2001-05-01,2.72497687944
2001-06-01,2.4791344476000003
2001-07-01,2.23893148632
2001-08-01,2.02496834508
2001-09-01,1.9159213122
2001-10-01,1.84283885568
2001-11-01,1.82752026756
2001-12-01,2.09541485484
2002-01-01,2.4993154138800002
2002-02-01,2.7462766120800004
2002-03-01,3.1142409648000005
2002-04-01,3.40668797148
2002-05-01,3.401721981
2002-06-01,3.03845101968
2002-07-01,2.4634766524800003
2002-08-01,2.06403389016
2002-09-01,1.85101189416
2002-10-01,1.70818724496
2002-11-01,1.6227921910799998
2002-12-01,2.13054313176
2003-01-01,2.80220629572
2003-02-01,2.92560363492
2003-03-01,3.3979586335199996
2003-04-01,3.96077582184
2003-05-01,4.5054115149600005
2003-06-01,4.402795846799999
2003-07-01,3.65675507232
2003-08-01,3.18520800312
2003-09-01,2.91585544248
2003-10-01,2.80106285976
2003-11-01,2.6860013784
2003-12-01,2.89085403636
2004-01-01,3.2037977802000004
2004-02-01,3.67840634676
2004-03-01,3.9614764384800005
2004-04-01,3.93354675084
2004-05-01,3.88251151584
2004-06-01,3.5457184362
2004-07-01,2.91314301996
2004-08-01,2.4794674872000004
2004-09-01,2.31067068312
2004-10-01,2.1790151953200003
2004-11-01,2.12424498288
2004-12-01,2.21360197452
2005-01-01,2.4065133126
2005-02-01,2.6353472887200002
2005-03-01,3.1910374296
2005-04-01,3.6791994744
2005-05-01,4.45375830648
2005-06-01,4.441914431520001
2005-07-01,4.16999253204
2005-08-01,3.9164346828
2005-09-01,3.7204606138800003
2005-10-01,3.5155450484400004
2005-11-01,3.38279793084
2005-12-01,3.74138166816
2006-01-01,3.5671069794
2006-02-01,3.8277573386400006
2006-03-01,3.7441236942000002
2006-04-01,4.042558012800001
2006-05-01,4.46415037548
2006-06-01,4.44507214032
2006-07-01,4.196849092080001
2006-08-01,3.9000417336
2006-09-01,3.6564602706
2006-10-01,3.5243891000399996
2006-11-01,3.4568523695999995
2006-12-01,3.56451297096
2007-01-01,3.6237804514799996
2007-02-01,3.85829090256
2007-03-01,4.014129999239999
2007-04-01,3.97526057748
2007-05-01,3.7829783141999997
2007-06-01,3.4235484096
2007-07-01,2.85984681612
2007-08-01,2.38673322732
2007-09-01,2.0757371484
2007-10-01,1.91603109192
2007-11-01,1.7486552567999998
2007-12-01,1.6491220551599999
2008-01-01,1.77054582636
2008-02-01,1.9579114383599998
2008-03-01,2.2281348358799997
2008-04-01,2.27324319948
2008-05-01,2.3003600237999997
2008-06-01,2.04368763756
2008-07-01,1.75654212792
2008-08-01,1.56885211068
2008-09-01,1.50260806728
2008-10-01,1.40520631908
2008-11-01,1.3759950457199999
2008-12-01,1.35649249344
2009-01-01,1.41093583368
2009-02-01,1.8422430848399998
2009-03-01,2.5779176934000003
2009-04-01,2.70648701424
2009-05-01,2.9371268050800006
2009-06-01,2.6817125684400005
2009-07-01,2.08166031936
2009-08-01,1.8776747978400004
2009-09-01,1.82137630368
2009-10-01,1.7205232784399997
2009-11-01,1.53938057304
2009-12-01,1.4422316882400001
2010-01-01,1.6146499896000002
2010-02-01,1.8590739194400001
2010-03-01,2.20980902352
2010-04-01,2.77808806128
2010-05-01,3.24150896424
2010-06-01,3.5139785288400005
2010-07-01,3.13728977208
2010-08-01,2.6813918636399996
2010-09-01,2.3477330566800005
2010-10-01,2.2566553604400004
2010-11-01,2.2088641778399993
2010-12-01,2.853871839
2011-01-01,3.18592095456
2011-02-01,3.4765300760400004
2011-03-01,3.6561506671200004
2011-04-01,4.250319216599999
2011-05-01,4.3608636942
2011-06-01,4.50131759484
2011-07-01,4.491508961880001
2011-08-01,4.24184027508
2011-09-01,3.8930096641200005
2011-10-01,3.7434761172
2011-11-01,3.61440600348
2011-12-01,3.30714120156
2012-01-01,3.3009108940799994
2012-02-01,3.2403889644000006
2012-03-01,3.8039203376399997
2012-04-01,4.38630545268
2012-05-01,4.45370033292
2012-06-01,4.1267430227999995
2012-07-01,3.461946642
2012-08-01,2.92512627816
2012-09-01,2.61049143324
2012-10-01,2.4161529588000006
2012-11-01,2.44731929796
2012-12-01,3.2617232344800007
2013-01-01,3.4705365967200006
2013-02-01,3.63063983376
2013-03-01,3.83982447348
2013-04-01,3.91560948468
2013-05-01,3.6354171018000003
2013-06-01,3.3216136224
2013-07-01,2.8226734293600004
2013-08-01,2.37503983692
2013-09-01,2.18701307964
2013-10-01,2.0007489652799997
2013-11-01,1.87884660384
2013-12-01,1.7648237126399997
2014-01-01,1.7528971945199998
2014-02-01,1.9219653642
2014-03-01,2.3019808165199995
2014-04-01,2.49032457816
2014-05-01,2.3201820474
2014-06-01,2.0348596212
2014-07-01,1.73483534688
2014-08-01,1.5489400430400002
2014-09-01,1.5121613698800003
2014-10-01,1.36213936488
2014-11-01,1.3101753194400003
2014-12-01,1.8425132169600003
2015-01-01,1.95561223164
2015-02-01,2.31454010988
2015-03-01,2.3974768381200002
2015-04-01,2.3833300559999997
2015-05-01,2.1157944114
2015-06-01,1.9039812257999997
2015-07-01,1.61831712564
2015-08-01,1.49262304668
2015-09-01,1.4936394342
2015-10-01,1.43418693168
2015-11-01,1.3249252732799999
2015-12-01,1.43368737228
2016-01-01,2.0510034074399996
2016-02-01,2.43886255908
2016-03-01,3.9498077176799997
2016-04-01,4.363869684960001
2016-05-01,4.267055073240001
2016-06-01,3.8372761038000003
2016-07-01,3.0559035282
2016-08-01,2.4603029084400005
2016-09-01,2.1852109653599996
2016-10-01,2.06313591672
2016-11-01,1.9859595400799999
2016-12-01,2.6057277334799998
2017-01-01,3.6619677588000004
2017-02-01,3.5037776492400003
2017-03-01,3.4482796836000005
2017-04-01,3.4160611859999994
2017-05-01,3.2024199830400004
2017-06-01,3.0301348975199995
2017-07-01,2.7800048891999998
2017-08-01,2.28302099544
2017-09-01,1.82027973996
2017-10-01,1.64100699024
2017-11-01,1.73008644888
2017-12-01,1.6842972043200002
2018-01-01,1.91142404412
2018-02-01,1.968572406
2018-03-01,2.73098269356
2018-04-01,3.1757854494
2018-05-01,3.14132571864
2018-06-01,2.94700451292
2018-07-01,2.5726791038399996
2018-08-01,2.14724691792
2018-09-01,1.85199867816
2018-10-01,1.61700963684
2018-11-01,1.44754305312
2018-12-01,1.4407885166399998
2019-01-01,1.90524307584
2019-02-01,2.8492302537599996
2019-03-01,3.6695647621200003
2019-04-01,4.22476027752
2019-05-01,4.438574167680001
2019-06-01,4.4373764586
2019-07-01,4.00782074904
2019-08-01,3.4355625048000005
2019-09-01,2.9188059266399997
2019-10-01,2.6877011138399998
2019-11-01,2.53667382264
2019-12-01,2.7274315046399997
2020-01-01,2.8876260192
2020-02-01,2.9475139401599995
2020-03-01,3.00269243448
2020-04-01,3.21297117096
2020-05-01,3.15493840392
2020-06-01,2.84677562856
2020-07-01,2.4892983228
2020-08-01,2.26438311264
2020-09-01,2.1820902609600004
2020-10-01,1.9990393619999998
2020-11-01,1.78474194768
2020-12-01,1.65882584232
2021-01-01,1.67992821816
2021-02-01,1.80968291328
2021-03-01,1.9410090619200002
2021-04-01,2.00716306128
2021-05-01,1.8231969201600002
2021-06-01,1.56485933592
2021-07-01,1.2837048386400003
2021-08-01,1.17992969928
2021-09-01,1.165761948
2021-10-01,1.3893042949199998
2021-11-01,1.5001941469200002
2021-12-01,1.8538785016800001
2022-01-01,2.1918310525200004
